trip_no,start_date,end_date
382,2016-07-17 11:23:00,2016-07-17 11:50:00
383,2016-07-17 12:20:00,2016-07-17 15:25:00
384,2016-07-18 10:37:00,2016-07-18 10:49:00
385,2016-07-18 10:54:00,2016-07-18 11:15:00
386,2016-07-18 11:25:00,2016-07-18 11:36:00
387,2016-07-18 11:40:00,2016-07-18 11:56:00
388,2016-07-18 17:12:00,2016-07-18 17:33:00
389,2016-07-18 18:32:00,2016-07-18 18:47:00
390,2016-07-18 19:07:00,2016-07-18 19:14:00
391,2016-07-18 20:28:00,2016-07-18 20:32:00
392,2016-07-18 21:11:00,2016-07-18 21:19:00
393,2016-07-19 10:35:00,2016-07-19 10:51:00
394,2016-07-19 10:56:00,2016-07-19 11:11:00
395,2016-07-19 11:30:00,2016-07-19 12:00:00
396,2016-07-19 17:14:00,2016-07-19 17:24:00
397,2016-07-22 13:21:00,2016-07-22 13:42:00
398,2016-07-22 14:27:00,2016-07-22 14:43:00
399,2016-07-23 20:17:00,2016-07-23 20:33:00
400,2016-07-23 23:18:00,2016-07-23 23:43:00
401,2016-07-26 20:52:00,2016-07-26 21:00:00
402,2016-07-26 22:31:00,2016-07-26 22:39:00
403,2016-07-29 17:27:00,2016-07-29 17:45:00
404,2016-08-02 08:11:00,2016-08-02 08:32:00
405,2016-08-07 17:28:00,2016-08-07 17:43:00
406,2016-08-07 20:15:00,2016-08-07 20:23:00
407,2016-08-08 17:02:00,2016-08-08 17:13:00
408,2016-08-08 23:28:00,2016-08-08 23:37:00
409,2016-08-13 15:35:00,2016-08-13 15:58:00
410,2016-10-16 12:52:00,2016-10-16 13:11:00
411,2016-10-16 19:27:00,2016-10-16 19:33:00
412,2016-10-16 21:34:00,2016-10-16 21:41:00
413,2016-10-18 10:41:00,2016-10-18 11:09:00
414,2016-10-23 19:04:00,2016-10-23 19:14:00
415,2016-10-23 21:10:00,2016-10-23 21:25:00
416,2016-10-25 20:00:00,2016-10-25 20:11:00
417,2016-10-25 22:24:00,2016-10-25 22:45:00
418,2016-10-26 19:25:00,2016-10-26 19:31:00
419,2016-10-27 18:51:00,2016-10-27 19:16:00
420,2016-10-28 11:34:00,2016-10-28 11:52:00
421,2016-10-28 13:06:00,2016-10-28 13:36:00
422,2016-10-28 15:53:00,2016-10-28 17:59:00
423,2016-10-28 18:13:00,2016-10-28 20:07:00
424,2016-10-28 20:13:00,2016-10-28 22:00:00
425,2016-10-29 15:22:00,2016-10-29 17:05:00
426,2016-10-31 21:45:00,2016-10-31 22:10:00
427,2016-11-01 20:41:00,2016-11-01 20:55:00
428,2016-11-02 16:46:00,2016-11-02 17:11:00
429,2016-11-03 18:51:00,2016-11-03 19:08:00
430,2016-11-03 22:46:00,2016-11-03 22:58:00
431,2016-11-04 10:02:00,2016-11-04 10:18:00
432,2016-11-06 16:05:00,2016-11-06 16:22:00
433,2016-11-06 16:27:00,2016-11-06 17:28:00
434,2016-11-07 12:28:00,2016-11-07 12:57:00
435,2016-11-07 19:17:00,2016-11-07 19:57:00
436,2016-11-08 10:29:00,2016-11-08 10:57:00
437,2016-11-08 12:16:00,2016-11-08 12:49:00
438,2016-11-09 18:21:00,2016-11-09 18:35:00
439,2016-11-09 18:40:00,2016-11-09 19:17:00
440,2016-11-10 09:46:00,2016-11-10 10:15:00
441,2016-11-10 15:17:00,2016-11-10 15:22:00
442,2016-11-10 15:30:00,2016-11-10 15:53:00
443,2016-11-11 09:35:00,2016-11-11 10:23:00
444,2016-11-11 14:39:00,2016-11-11 15:46:00
445,2016-11-12 14:22:00,2016-11-12 14:53:00
446,2016-11-12 15:40:00,2016-11-12 15:59:00
447,2016-11-13 12:22:00,2016-11-13 12:51:00
448,2016-11-14 11:24:00,2016-11-14 12:13:00
449,2016-11-14 13:40:00,2016-11-14 14:33:00
450,2016-11-14 20:19:00,2016-11-14 20:30:00
451,2016-11-15 14:09:00,2016-11-15 14:26:00
452,2016-11-15 20:44:00,2016-11-15 21:00:00
453,2016-11-16 20:21:00,2016-11-16 20:27:00
454,2016-11-16 22:52:00,2016-11-16 23:02:00
455,2016-11-17 10:13:00,2016-11-17 10:44:00
456,2016-11-18 20:09:00,2016-11-18 20:19:00
457,2016-11-18 21:23:00,2016-11-18 21:34:00
458,2016-11-18 21:56:00,2016-11-18 22:21:00
459,2016-11-19 13:51:00,2016-11-19 14:10:00
460,2016-11-19 14:30:00,2016-11-19 14:51:00
461,2016-11-19 17:41:00,2016-11-19 17:54:00
462,2016-11-19 21:14:00,2016-11-19 21:35:00
463,2016-11-20 10:27:00,2016-11-20 11:32:00
464,2016-11-20 11:58:00,2016-11-20 12:28:00
